[step];mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens
0;19,52101188;20,16410776;20,76249278;19,17884384;19,94514409;20,36927563;19,85608246;21,17199289;19,25752267;18,52203482;19,74747613;21,10746144;19,77723496;20,17890253;20,67022121;19,60096375;20,3095691;19,96320573;20,34226907;19,24847417;19,68443946;19,8040147;19,43727436;19,7999176;21,11149801;20,33158707;19,77481484;20,39599246;20,16536788;19,46461842;21,20231682;20,79009167;19,74009356;19,98742487;19,55844554;20,92970659;20,58725458;20,07113643;19,53993967;20,50988082;20,78526436;20,45246824;19,82023111;18,28163348;19,0604104;20,00888389;20,19258629;20,84268804;20,03394876;20,13749999
1;19,683779;20,36344109;20,97815945;19,3125105;20,09514409;20,46927563;20,00608246;21,29048906;19,40852267;18,70303482;19,9261428;21,33146144;20,03490163;20,41990253;20,84769079;19,84129708;20,53223577;20,15853906;20,56801654;19,54014083;20,00479919;20,05568137;19,74994103;20,26425094;21,47783134;20,57829505;20,13981484;20,69199246;20,41536788;19,71707269;21,52998349;21,12409167;20,2114269;20,46282532;20,09877887;21,25103993;20,83507878;20,4938031;19,86660634;20,88454749;21,23593103;20,96780157;20,21656445;18,81596682;19,56274373;20,48934589;20,74225295;21,24572767;20,62094876;20,70223482
2;19,69761233;20,50844109;21,05753359;19,39284384;20,2606373;20,5189423;20,10324399;21,40865572;19,537856;18,75070149;20,09847613;21,53912811;20,27231826;20,55890253;20,92252413;20,02929708;20,7503146;20,39465148;20,70884988;19,76514083;20,32996586;20,27539478;19,9866077;20,47825094;21,67416468;20,90479505;20,37989054;20,9233258;20,66307146;19,94490603;21,77331682;21,39609167;20,64515189;20,88522898;20,3831122;21,63684009;21,08657878;20,84746977;20,16593967;21,20488082;21,63226436;21,44346824;20,52689778;19,25830015;19,9908463;20,93184589;21,04991962;21,693561;21,0002821;21,01673482
3;19,76347723;20,64014188;21,13966181;19,59131262;20,34229775;20,5639423;20,22091045;21,43782239;19,63571023;18,81270149;20,27547613;21,64179477;20,45798493;20,66423587;21,05869079;20,27631955;20,88925968;20,53165148;20,87784988;19,9898075;20,57813252;20,46889478;20,4476077;20,77225094;21,93816468;21,13679505;20,53589054;21,1703258;20,83957146;20,20807269;22,18231682;21,69709167;20,96565189;21,29322898;20,70544554;22,00384009;21,50607878;21,13146977;20,46393967;21,52621416;22,07659769;21,88780157;20,93256445;19,51547635;20,5378463;21,37884589;21,50995174;22,01922767;21,39694876;21,46840149
4;19,8272834;20,73847521;21,28516181;19,60547928;20,52263108;20,62772185;20,30524378;21,56965572;19,69871023;18,87770149;20,33047613;21,84346144;20,64731826;20,80403417;21,14499869;20,46565288;21,15859302;20,69898481;21,11451654;20,07547417;20,76063252;20,69639478;20,70627436;20,91725094;22,21190464;21,34546171;20,64590659;21,39499246;20,94707146;20,31907269;22,47765016;22,068425;21,34765189;21,51206231;20,9251122;22,26932983;21,80291211;21,4458031;20,78460634;21,84288082;22,45059769;22,25946824;21,33523111;19,85980968;20,9498463;21,68322594;21,94845174;22,376561;21,6402821;21,89140149
5;19,90811674;20,78980855;21,32999515;19,70331262;20,53729775;20,68822185;20,35124378;21,59915572;19,81448781;18,92579158;20,49947613;21,92979477;20,86898493;20,97320084;21,29777253;20,71998622;21,32659302;20,78201955;21,25018321;20,21347417;20,92213252;20,91993357;20,90275716;21,1269176;22,3905713;21,50512838;20,81473992;21,65610534;21,21957146;20,44673936;22,75831682;22,535425;21,57931856;21,87489565;21,12598283;22,66700971;22,11807878;21,8398031;21,01593967;22,18088082;22,88626436;22,71613491;21,67658457;20,25680968;21,4258463;22,10405928;22,19728507;22,697561;22,12861543;22,16406816
6;19,93645007;20,92214188;21,40598686;19,83281262;20,56863108;20,83138852;20,48024378;21,72665572;19,86064306;19,00429158;20,61780946;21,96346144;21,02281826;20,99003417;21,48127253;20,83881955;21,46425968;20,86468622;21,38584988;20,24614083;21,09813252;21,11043357;21,10992383;21,31527985;22,4855713;21,68212838;21,02173992;21,72727201;21,34108823;20,7386457;23,02065016;22,80009167;21,86065189;22,17256231;21,3716495;22,89784305;22,36107878;21,99946977;21,23193967;22,34865324;23,08826436;23,10080157;22,0114179;20,76447635;21,88053284;22,44255928;22,4681184;22,932561;22,3772821;22,50006816
7;20,0292834;21,00380855;21,4488202;19,89931262;20,70129775;20,89288852;20,54291045;21,73882239;19,94164306;19,11845825;20,68280946;22,06179477;21,12598493;21,10886751;21,5794392;21,02298622;21,71542635;21,08268622;21,47034988;20,36014083;21,26013252;21,30060023;21,38625716;21,45377985;22,79090464;21,87195418;21,22540659;21,98343867;21,54179007;20,9621457;23,28631682;22,99709167;22,15898523;22,48556231;21,54598283;23,13167638;22,62407878;22,17685371;21,56327301;22,66365324;23,32426436;23,33746824;22,2984179;21,19987424;22,29936617;22,79055928;22,7376184;23,333561;22,6802821;22,75373482
8;20,08961674;21,03247521;21,42798686;19,92764595;20,71296441;20,91772185;20,55406149;21,73165572;20,05514306;19,22829158;20,9471428;22,14246144;21,1946516;21,27403417;21,75927253;21,15315288;21,89925968;21,19985288;21,53884988;20,40814083;21,53063252;21,4562669;21,66459049;21,51161318;23,01090464;22,05728752;21,36573992;22,19027201;21,62395674;21,0866457;23,51398349;23,193425;22,46898523;22,66422898;21,85281617;23,31200971;22,90074545;22,45552038;21,73927301;22,91198657;23,58893103;23,71113491;22,40075123;21,45187424;22,50169951;23,15289261;22,98878507;23,62989434;22,95894876;23,14340149
9;20,0822834;21,07480855;21,43871405;19,96964595;20,82529775;20,97605075;20,61372815;21,81015572;20,09847639;19,31879158;21,11180946;22,30791929;21,3116516;21,30720084;21,8744392;21,25115288;21,98359302;21,31568622;21,72168321;20,48814083;21,76713252;21,66260023;21,95792383;21,61311318;23,14890464;22,19368149;21,45357325;22,27727201;21,72234361;21,18997903;23,66965016;23,38809167;22,76098523;22,92206231;21,97548283;23,52234305;23,20941211;22,58185371;22,01673153;23,14498657;23,75459769;23,97480157;22,66551426;21,73254091;22,80436617;23,35422594;23,25495174;23,86389434;23,3372821;23,57573482
