Spreadsheet version 2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
max-pxcor;min-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[step];mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens;mean [digital-knowledge] of citizens
4;20,37818066;20,56304582;20,41603882;21,77443628;20,40457618;20,89175681;20,60634298;21,13044299;21,35523624;21,63187641;21,92878909;20,63686563;21,11094982;19,7964829;19,8235239;19,99650369;20,71635011;22,00074109;20,291122;21,2105002;21,15770873;21,15347717;21,17399505;20,46857638;21,11637197;21,7539664;21,48035745;21,30225128;22,65224603;21,04004251
5;20,44718066;20,75404582;20,54303882;21,98276962;20,52924285;21,04842348;20,81350964;21,35594299;21,5439029;21,80787641;22,20645576;20,82703229;21,23873984;19,95581623;19,99785723;20,15717036;21,02518344;22,21207442;20,41278867;21,48883353;21,39954206;21,27913486;21,24732838;20,62590972;21,38770531;21,94363306;21,65685745;21,55958461;22,79491269;21,40020918
6;20,50218066;20,94071248;20,68703882;22,20776962;20,70107618;21,23975681;21,07000964;21,55988032;21,7699029;21,98654308;22,33095202;20,98221433;21,49990651;20,1954829;20,20419057;20,38050369;21,18001678;22,40240775;20,537622;21,78116686;21,64204206;21,43796819;21,33832838;20,71424305;21,64237197;22,1479664;21,87935745;21,83091795;22,99991269;21,62187584
7;20,675514;21,06271248;20,79037215;22,46276962;20,82157618;21,44475681;21,16050964;21,79371365;21,94467377;22,19354308;22,50561869;21,18688099;21,59107562;20,34814956;20,4125239;20,56917036;21,45385011;22,62340775;20,786122;21,87383353;21,90138136;21,70913486;21,47016171;20,98357638;21,84803864;22,30163306;22,03585745;22,08725128;23,06941269;21,83104251
8;20,77858694;21,31937915;20,97870548;22,51443628;20,92207618;21,68209014;21,31634298;21,79506638;22,20084044;22,34954308;22,74561869;21,36236987;21,68307562;20,5654829;20,66819057;20,70550369;21,72251678;22,71074109;20,93895534;22,0515002;22,05839533;21,79763486;21,58866171;21,0837045;22,08703864;22,47263306;22,19035745;22,37758461;23,17557936;22,02155156
9;20,8447536;21,45504582;21,09903882;22,60143628;21,00657618;21,86714527;21,60117631;21,93089971;22,3195183;22,53954308;22,91928536;21,5327032;21,83674228;20,64881623;20,90285723;20,94017036;21,87618344;22,92907442;21,12345534;22,20764436;22,146062;21,86746819;21,70563943;21,2732045;22,25803864;22,62463306;22,36452412;22,48391795;23,28174603;22,25721823
10;21,01158694;21,64404582;21,28370548;22,75143628;21,20540952;22,02181193;21,75734298;21,98073761;22,4445183;22,67054308;23,08695202;21,6687032;21,90790895;20,81593247;20,97119057;21,10617036;22,06468344;23,01374109;21,305622;22,44797769;22,25089533;22,0164999;21,80730609;21,4092045;22,37452108;22,92463306;22,51736327;22,65325128;23,43924603;22,54155156
11;21,12642027;21,81179331;21,4021103;22,90210295;21,33673335;22,16290171;21,88950964;22,14357094;22,54735163;22,92760025;23,25745202;21,8687032;22,01440895;20,95159914;21,07285723;21,22517036;22,30051678;23,09974109;21,40945534;22,53764436;22,34872867;22,18133323;21,95563943;21,51053783;22,51102108;23,07263306;22,67456665;22,85338211;23,47207936;22,7268849
12;21,2082536;21,94729331;21,50077697;23,02043628;21,41804706;22,21290171;22,05600964;22,22457094;22,81568497;23,09293359;23,34578536;22,0012032;22,0496819;21,06759914;21,2075239;21,37383703;22,41668719;23,21940775;21,63128867;22,71214436;22,46689533;22,24666656;22,10397276;21,57713863;22,64285441;23,30663306;22,84406665;23,05621544;23,57324603;22,91571823
13;21,27342027;22,06479331;21,63677697;23,17281488;21,54771372;22,24490171;22,23917631;22,25457094;23,00068497;23,27960025;23,44828536;22,08553653;22,23251523;21,13259914;21,38919057;21,50817036;22,46618719;23,27074109;21,78178867;22,89581103;22,581562;22,4089999;22,20051319;21,70913863;22,80695178;23,39329973;23,09639998;23,17638211;23,65474603;23,0863849
