[run number];train-frecuency;training-intensity;training-shares;[reporter];[final];[min];[max];[mean];[total steps]
19;;;;attackers-free;33;15;40;27,4128234;8000
19;;;;mean [last-payoff] of attackers;-2,2;-4,6;2,8;-1,444694413;8000
19;;;;mean [aspiration-payoff] of attackers;-2,683966536;-3,113796743;0,296699091;-1,934391838;8000
20;1000;1,6;0,2;[step];8000;0;8000;4000;8000
20;;;;mean [digital-knowledge] of citizens;69,07336152;20,93235174;70,64450991;57,28431972;8000
20;;;;cumulative-victims;18558;0;18558;10117,03412;8000
20;;;;ema-success-rate;0,073792352;0;0,157093361;0,084665913;8000
20;;;;vulnerability-index;0;0;0,456666667;0,03752281;8000
20;;;;expert-index;0,373333333;0;0,453333333;0,26951631;8000
20;;;;attackers-jail;13;0;25;11,8087739;8000
20;;;;attackers-free;27;15;40;28,1912261;8000
20;;;;mean [last-payoff] of attackers;-1,7;-4,7;3,9;-1,574178228;8000
20;;;;mean [aspiration-payoff] of attackers;-2,277066452;-3,444082053;0,01;-2,066036859;8000
21;1000;1,6;0,4;[step];8000;0;8000;4000;8000
21;;;;mean [digital-knowledge] of citizens;83,06025975;18,64939398;83,33762376;66,40316117;8000
21;;;;cumulative-victims;16171;0;16171;9067,771154;8000
21;;;;ema-success-rate;0,050643995;0;0,164592382;0,067049224;8000
21;;;;vulnerability-index;0;0;0,53;0,046515436;8000
21;;;;expert-index;0,783333333;0;0,806666667;0,539336333;8000
21;;;;attackers-jail;7;0;31;10,19035121;8000
21;;;;attackers-free;33;9;40;29,80964879;8000
21;;;;mean [last-payoff] of attackers;-1,9;-5,5;4,3;-2,149231346;8000
21;;;;mean [aspiration-payoff] of attackers;-3,266724863;-4,594882133;0,383522779;-2,726789966;8000
22;1000;1,6;0,4;[step];8000;0;8000;4000;8000
22;;;;mean [digital-knowledge] of citizens;82,50013837;20,14383095;82,81725259;67,10927864;8000
22;;;;cumulative-victims;16099;0;16099;9035,145357;8000
22;;;;ema-success-rate;0,060364458;0;0,171793103;0,066021745;8000
22;;;;vulnerability-index;0;0;0,483333333;0,03482773;8000
22;;;;expert-index;0,746666667;0;0,78;0,531260676;8000
22;;;;attackers-jail;7;0;26;10,12210974;8000
22;;;;attackers-free;33;14;40;29,87789026;8000
22;;;;mean [last-payoff] of attackers;-2;-5,7;3,5;-2,160817398;8000
22;;;;mean [aspiration-payoff] of attackers;-2,765778008;-4,201720835;0,270323314;-2,731460057;8000
23;1000;1,6;0,4;[step];8000;0;8000;4000;8000
23;;;;mean [digital-knowledge] of citizens;82,26090865;20,3327894;83,1616098;66,29009034;8000
23;;;;cumulative-victims;15864;0;15864;8920,859143;8000
23;;;;ema-success-rate;0,063153316;0;0,149874422;0,066309897;8000
23;;;;vulnerability-index;0;0;0,5;0,032770487;8000
23;;;;expert-index;0,72;0;0,78;0,50500979;8000
23;;;;attackers-jail;7;0;27;10,095988;8000
23;;;;attackers-free;33;13;40;29,904012;8000
23;;;;mean [last-payoff] of attackers;-2;-5,8;3,1;-2,080589926;8000
23;;;;mean [aspiration-payoff] of attackers;-2,525689873;-4,311797106;0,389581762;-2,629389528;8000
24;1000;1,6;0,4;[step];8000;0;8000;4000;8000
24;;;;mean [digital-knowledge] of citizens;82,57379551;19,37539745;82,96051067;66,3171835;8000
24;;;;cumulative-victims;15938;0;15938;8944,741407;8000
24;;;;ema-success-rate;0,050598399;0;0,1611923;0,067183397;8000
24;;;;vulnerability-index;0;0;0,513333333;0,043098363;8000
24;;;;expert-index;0,75;0;0,77;0,522476357;8000
24;;;;attackers-jail;11;0;25;10,59080115;8000
24;;;;attackers-free;29;15;40;29,40919885;8000
24;;;;mean [last-payoff] of attackers;-2,2;-6,1;2,5;-2,113973253;8000
24;;;;mean [aspiration-payoff] of attackers;-3,222387561;-4,262611291;0,01;-2,715579165;8000
25;1000;1,6;0,4;[step];8000;0;8000;4000;8000
25;;;;mean [digital-knowledge] of citizens;82,41251623;20,65883278;83,2935869;65,84704045;8000
25;;;;cumulative-victims;15838;0;15838;8827,774528;8000
25;;;;ema-success-rate;0,063109628;0;0,166390551;0,068386245;8000
25;;;;vulnerability-index;0;0;0,473333333;0,045136441;8000
25;;;;expert-index;0,74;0;0,79;0,513075032;8000
25;;;;attackers-jail;14;0;29;10,78290214;8000
25;;;;attackers-free;26;11;40;29,21709786;8000
25;;;;mean [last-payoff] of attackers;-2,3;-5;2,6;-2,02952131;8000
25;;;;mean [aspiration-payoff] of attackers;-2,977975296;-4,26674949;0,01;-2,615188884;8000
26;1000;1,6;0,4;[step];8000;0;8000;4000;8000
26;;;;mean [digital-knowledge] of citizens;83,68279748;20,65236609;83,68279748;67,20710405;8000
26;;;;cumulative-victims;15992;0;15992;8950,796525;8000
26;;;;ema-success-rate;0,060214247;0;0,169899849;0,065820556;8000
26;;;;vulnerability-index;0;0;0,483333333;0,032485523;8000
26;;;;expert-index;0,776666667;0;0,79;0,537593634;8000
26;;;;attackers-jail;10;0;26;9,854268216;8000
26;;;;attackers-free;30;14;40;30,14573178;8000
26;;;;mean [last-payoff] of attackers;-0,9;-5,5;2,6;-2,16671666;8000
26;;;;mean [aspiration-payoff] of attackers;-3,210518259;-4,289771663;0,01;-2,72463174;8000
27;1000;1,6;0,4;[step];8000;0;8000;4000;8000
27;;;;mean [digital-knowledge] of citizens;82,98758949;19,83569285;82,98758949;65,53292606;8000
27;;;;cumulative-victims;16022;0;16022;8905,950506;8000
27;;;;ema-success-rate;0,056123602;0;0,157185857;0,06966322;8000
27;;;;vulnerability-index;0;0;0,503333333;0,047357414;8000
27;;;;expert-index;0,756666667;0;0,766666667;0,504326126;8000
27;;;;attackers-jail;12;0;30;10,66341707;8000
27;;;;attackers-free;28;10;40;29,33658293;8000
27;;;;mean [last-payoff] of attackers;-3,7;-5,6;4,4;-1,993150856;8000
27;;;;mean [aspiration-payoff] of attackers;-2,838242139;-4,17511819;0,296008317;-2,53511682;8000
28;1000;1,6;0,4;[step];8000;0;8000;4000;8000
28;;;;mean [digital-knowledge] of citizens;82,64643579;19,33544501;82,82519071;65,31666526;8000
28;;;;cumulative-victims;15928;0;15928;8879,776528;8000
28;;;;ema-success-rate;0,059054798;0;0,153556879;0,067936675;8000
28;;;;vulnerability-index;0;0;0,526666667;0,049687956;8000
28;;;;expert-index;0,766666667;0;0,77;0,509755031;8000
28;;;;attackers-jail;9;0;25;10,49493813;8000
28;;;;attackers-free;31;15;40;29,50506187;8000
